text,pred_label,true_label,sentence_id,full_text,fold,category,pred_text,true_text
torrent,LANDSCAPE,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
Sunbeam,WEATHER,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
roof,WEATHER,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
columns,LANDSCAPE,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
mist,WEATHER,,s00215,"I was troubled; a mist came over my eyes, and I felt a faintness seize me, but I was quickly restored by the cold gale of the mountains.",0,spurious,,
landscape,LANDSCAPE,,s00863,"Nor wilt thou then forget, That after many wanderings, many years Of absence, these steep woods and lofty cliffs, And this green pastoral landscape, were to me More dear, both for themselves, and for thy sake.",0,spurious,,
leafy,WEATHER,,s00741,"It ceased; yet still the sails made on A pleasant noise till noon, A noise like of a hidden brook In the leafy month of June, That to the sleeping woods all night Singeth a quiet tune.",0,spurious,,
pall,WEATHER,,s00570,"And when Sunset may breathe, from the lit sea beneath, Its ardours of rest and of love, And the crimson pall of eve may fall From the depth of Heaven above.",0,spurious,,
star,WEATHER,,s00688,"One after one, by the star-dogged Moon Too quick for groan or sigh, Each turned his face with a ghastly pang, And cursed me with his eye.",0,spurious,,
shade,WEATHER,,s00770,"But soon there breathed a wind on me, Nor sound nor motion made: Its path was not upon the sea, In ripple or in shade.",0,spurious,,
wings,WEATHER,,s00564,"From my wings are shaken the dews that waken The sweet buds every one, When rocked to rest on their mother’s breast, As she dances about the sun.",0,spurious,,
prey,FAUNA,,s00076,"Whose happy flight is highest into heaven, Well may'st thou swoop so near me--I should be Thy prey, and gorge thine eaglets; thou art gone Where the eye cannot follow thee; but thine Yet pierces downward, onward, or above, With a pervading vision.--Beautiful!",0,spurious,,
trail,FAUNA,,s00866,"Through primrose-tufts, in that sweet bower, The periwinkle trail’d its wreathes; And ’tis my faith that every flower Enjoys the air it breathes.",0,spurious,,
shaft,LANDSCAPE,,s00022,"Now, where the quick Rhone thus hath cleft his way, The mightiest of the storms hath ta'en his stand; For here, not one, but many, make their play, And fling their thunderbolts from hand to hand, Flashing and cast around: of all the band, The brightest through these parted hills hath forked His lightnings, as if he did understand That in such gaps as desolation worked, There the hot shaft should blast whatever therein lurked.",0,spurious,,
palaces,LANDSCAPE,,s00548,"Thou who didst waken from his summer dreams The blue Mediterranean, where he lay, Lulled by the coil of his crystalline streams, Beside a pumice isle in Baiae’s bay, And saw in sleep old palaces and towers Quivering within the wave’s intenser day, All overgrown with azure moss and flowers So sweet, the sense faints picturing them!",0,spurious,,
towers,LANDSCAPE,,s00548,"Thou who didst waken from his summer dreams The blue Mediterranean, where he lay, Lulled by the coil of his crystalline streams, Beside a pumice isle in Baiae’s bay, And saw in sleep old palaces and towers Quivering within the wave’s intenser day, All overgrown with azure moss and flowers So sweet, the sense faints picturing them!",0,spurious,,
day,WEATHER,,s00548,"Thou who didst waken from his summer dreams The blue Mediterranean, where he lay, Lulled by the coil of his crystalline streams, Beside a pumice isle in Baiae’s bay, And saw in sleep old palaces and towers Quivering within the wave’s intenser day, All overgrown with azure moss and flowers So sweet, the sense faints picturing them!",0,spurious,,
towers,LANDSCAPE,,s00567,"Sublime on the towers of my skiey bowers, Lightning my pilot sits; In a cavern under is fettered the thunder, It struggles and howls at fits; Over earth and ocean, with gentle motion, This pilot is guiding me, Lured by the love of the genii that move In the depths of the purple sea; Over the rills, and the crags, and the hills.",0,spurious,,
depths,LANDSCAPE,,s00567,"Sublime on the towers of my skiey bowers, Lightning my pilot sits; In a cavern under is fettered the thunder, It struggles and howls at fits; Over earth and ocean, with gentle motion, This pilot is guiding me, Lured by the love of the genii that move In the depths of the purple sea; Over the rills, and the crags, and the hills.",0,spurious,,
-,LANDSCAPE,,s00011,"Come, and compare Columns and idol-dwellings, Goth or Greek, With Nature's realms of worship, earth and air, Nor fix on fond abodes to circumscribe thy prayer!",0,spurious,,
mind,NATURE,,s00858,"And this prayer I make, Knowing that Nature never did betray The heart that loved her; ’tis her privilege, Through all the years of this our life, to lead From joy to joy: for she can so inform The mind that is within us, so impress With quietness and beauty, and so feed With lofty thoughts, that neither evil tongues, Rash judgments, nor the sneers of selfish men, Nor greetings where no kindness is, nor all The dreary intercourse of daily life, Shall e’er prevail against us, or disturb Our chearful faith that all which we behold Is full of blessings.",0,spurious,,
beams,,WEATHER,s00710,"Her beams bemocked the sultry main, Like April hoar-frost spread; But where the ship's huge shadow lay, The charmed water burnt alway A still and awful red.",0,missed,,
main,,LANDSCAPE,s00710,"Her beams bemocked the sultry main, Like April hoar-frost spread; But where the ship's huge shadow lay, The charmed water burnt alway A still and awful red.",0,missed,,
STORM-BLAST,,WEATHER,s00619,"And now the STORM-BLAST came, and he Was tyrannous and strong: He struck with his o'ertaking wings, And chased south along.",0,missed,,
ripple,,LANDSCAPE,s00770,"But soon there breathed a wind on me, Nor sound nor motion made: Its path was not upon the sea, In ripple or in shade.",0,missed,,
mother,,NATURE,s00564,"From my wings are shaken the dews that waken The sweet buds every one, When rocked to rest on their mother’s breast, As she dances about the sun.",0,missed,,
periwinkle,,FLORA,s00866,"Through primrose-tufts, in that sweet bower, The periwinkle trail’d its wreathes; And ’tis my faith that every flower Enjoys the air it breathes.",0,missed,,
Rhone,,LANDSCAPE,s00022,"Now, where the quick Rhone thus hath cleft his way, The mightiest of the storms hath ta'en his stand; For here, not one, but many, make their play, And fling their thunderbolts from hand to hand, Flashing and cast around: of all the band, The brightest through these parted hills hath forked His lightnings, as if he did understand That in such gaps as desolation worked, There the hot shaft should blast whatever therein lurked.",0,missed,,
Lightning,,WEATHER,s00567,"Sublime on the towers of my skiey bowers, Lightning my pilot sits; In a cavern under is fettered the thunder, It struggles and howls at fits; Over earth and ocean, with gentle motion, This pilot is guiding me, Lured by the love of the genii that move In the depths of the purple sea; Over the rills, and the crags, and the hills.",0,missed,,
genii,,NATURE,s00567,"Sublime on the towers of my skiey bowers, Lightning my pilot sits; In a cavern under is fettered the thunder, It struggles and howls at fits; Over earth and ocean, with gentle motion, This pilot is guiding me, Lured by the love of the genii that move In the depths of the purple sea; Over the rills, and the crags, and the hills.",0,missed,,
Nature,,NATURE,s00875,"And he is no mean preacher; Come forth into the light of things, Let Nature be your teacher.",0,missed,,
spring,LANDSCAPE,WEATHER,s00714,"no tongue Their beauty might declare: A spring of love gushed from my heart, And I blessed them unaware: Sure my kind saint took pity on me, And I blessed them unaware.",1,label_confusion,,
earthquake,WEATHER,LANDSCAPE,s00020,"And now again 'tis black,--and now, the glee Of the loud hills shakes with its mountain-mirth, As if they did rejoice o'er a young earthquake's birth.",1,label_confusion,,
earthquake,WEATHER,LANDSCAPE,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,label_confusion,,
spring,LANDSCAPE,WEATHER,s00002,"thy contrasted lake, With the wild world I dwelt in, is a thing Which warns me, with its stillness, to forsake Earth's troubled waters for a purer spring.",1,label_confusion,,
ice,LANDSCAPE,WEATHER,s00173,"The abrupt sides of vast mountains were before me; the icy wall of the glacier overhung me; a few shattered pines were scattered around; and the solemn silence of this glorious presence-chamber of imperial Nature was broken only by the brawling waves or the fall of some vast fragment, the thunder sound of the avalanche or the cracking, reverberated along the mountains, of the accumulated ice, which, through the silent working of immutable laws, was ever and anon rent and torn, as if it had been but a plaything in their hands.",1,label_confusion,,
stream,LANDSCAPE,WEATHER,s00546,"Thou on whose stream, mid the steep sky’s commotion, Loose clouds like earth’s decaying leaves are shed, Shook from the tangled boughs of Heaven and Ocean, Angels of rain and lightning: there are spread On the blue surface of thine aery surge, Like the bright hair uplifted from the head Of some fierce Maenad, even from the dim verge Of the horizon to the zenith’s height, The locks of the approaching storm.",1,label_confusion,,
,LANDSCAPE,LANDSCAPE,s00695,"And thou art long, and lank, and brown, As is the ribbed sea-sand.",1,boundary_error,sea-,sea-sand
,LANDSCAPE,LANDSCAPE,s00695,"And thou art long, and lank, and brown, As is the ribbed sea-sand.",1,boundary_error,sand,sea-sand
,WEATHER,WEATHER,s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",1,boundary_error,fog,fog-smoke
,LANDSCAPE,WEATHER,s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",1,boundary_error,-,fog-smoke
,WEATHER,WEATHER,s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",1,boundary_error,smoke,fog-smoke
,WEATHER,WEATHER,s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",1,boundary_error,Moon,Moon-shine
,LANDSCAPE,LANDSCAPE,s00311,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,1,boundary_error,Pacific,North Pacific Ocean
,LANDSCAPE,LANDSCAPE,s00311,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,1,boundary_error,Ocean,North Pacific Ocean
,FLORA,FLORA,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,boundary_error,orchard,orchard-tufts
,LANDSCAPE,FLORA,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,boundary_error,-,orchard-tufts
,FLORA,FLORA,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,boundary_error,tufts,orchard-tufts
,WEATHER,FAUNA,s00589,"Like a Poet hidden In the light of thought, Singing hymns unbidden, Till the world is wrought To sympathy with hopes and fears it heeded not: Like a high-born maiden In a palace-tower, Soothing her love-laden Soul in secret hour With music sweet as love, which overflows her bower: Like a glow-worm golden In a dell of dew, Scattering unbeholden Its aereal hue Among the flowers and grass, which screen it from the view!",1,boundary_error,glow,glow-worm
,LANDSCAPE,FAUNA,s00589,"Like a Poet hidden In the light of thought, Singing hymns unbidden, Till the world is wrought To sympathy with hopes and fears it heeded not: Like a high-born maiden In a palace-tower, Soothing her love-laden Soul in secret hour With music sweet as love, which overflows her bower: Like a glow-worm golden In a dell of dew, Scattering unbeholden Its aereal hue Among the flowers and grass, which screen it from the view!",1,boundary_error,-,glow-worm
,FAUNA,FAUNA,s00589,"Like a Poet hidden In the light of thought, Singing hymns unbidden, Till the world is wrought To sympathy with hopes and fears it heeded not: Like a high-born maiden In a palace-tower, Soothing her love-laden Soul in secret hour With music sweet as love, which overflows her bower: Like a glow-worm golden In a dell of dew, Scattering unbeholden Its aereal hue Among the flowers and grass, which screen it from the view!",1,boundary_error,worm,glow-worm
,LANDSCAPE,FLORA,s00549,"Thou For whose path the Atlantic’s level powers Cleave themselves into chasms, while far below The sea-blooms and the oozy woods which wear The sapless foliage of the ocean, know Thy voice, and suddenly grow gray with fear, And tremble and despoil themselves:",1,boundary_error,sea-,sea-blooms
,FLORA,FLORA,s00549,"Thou For whose path the Atlantic’s level powers Cleave themselves into chasms, while far below The sea-blooms and the oozy woods which wear The sapless foliage of the ocean, know Thy voice, and suddenly grow gray with fear, And tremble and despoil themselves:",1,boundary_error,blooms,sea-blooms
,WEATHER,WEATHER,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,boundary_error,morning,morning star
,WEATHER,WEATHER,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,boundary_error,star,morning star
,LANDSCAPE,LANDSCAPE,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,boundary_error,mountain,mountain crag
,LANDSCAPE,LANDSCAPE,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,boundary_error,crag,mountain crag
,LANDSCAPE,LANDSCAPE,s00093,"Mountains have fallen, Leaving a gap in the clouds, and with the shock Rocking their Alpine brethren; filling up The ripe green valleys with Destruction's splinters; Damming the rivers with a sudden dash, Which crushed the waters into mist, and made Their fountains find another channel--thus, Thus, in its old age, did Mount Rosenberg--Why stood I not beneath it?",1,boundary_error,Mount,Mount Rosenberg
,LANDSCAPE,LANDSCAPE,s00093,"Mountains have fallen, Leaving a gap in the clouds, and with the shock Rocking their Alpine brethren; filling up The ripe green valleys with Destruction's splinters; Damming the rivers with a sudden dash, Which crushed the waters into mist, and made Their fountains find another channel--thus, Thus, in its old age, did Mount Rosenberg--Why stood I not beneath it?",1,boundary_error,Rosenberg,Mount Rosenberg
,LANDSCAPE,LANDSCAPE,s00210,"The sea, or rather the vast river of ice, wound among its dependent mountains, whose aerial summits hung over its recesses.",1,boundary_error,river of,river of ice
,WEATHER,LANDSCAPE,s00210,"The sea, or rather the vast river of ice, wound among its dependent mountains, whose aerial summits hung over its recesses.",1,boundary_error,ice,river of ice
,LANDSCAPE,LANDSCAPE,s00528,"Far, far above, piercing the infinite sky, Mont Blanc appears,—still, snowy, and serene— Its subject mountains their unearthly forms Pile around it, ice and rock; broad vales between Of frozen floods, unfathomable deeps, Blue as the overhanging heaven, that spread And wind among the accumulated steeps; A desert peopled by the storms alone, Save when the eagle brings some hunter’s bone, And the wolf tracts her there—how hideously Its shapes are heaped around!",1,boundary_error,Mont,Mont Blanc
,LANDSCAPE,LANDSCAPE,s00528,"Far, far above, piercing the infinite sky, Mont Blanc appears,—still, snowy, and serene— Its subject mountains their unearthly forms Pile around it, ice and rock; broad vales between Of frozen floods, unfathomable deeps, Blue as the overhanging heaven, that spread And wind among the accumulated steeps; A desert peopled by the storms alone, Save when the eagle brings some hunter’s bone, And the wolf tracts her there—how hideously Its shapes are heaped around!",1,boundary_error,Blanc,Mont Blanc
,WEATHER,WEATHER,s00541,"In the calm darkness of the moonless nights, In the lone glare of day, the snows descend Upon that Mountain; none beholds them there, Nor when the flakes burn in the sinking sun, Or the star-beams dart through them:—Winds contend Silently there, and heap the snow with breath Rapid and strong, but silently!",1,boundary_error,star-,star-beams
,WEATHER,WEATHER,s00541,"In the calm darkness of the moonless nights, In the lone glare of day, the snows descend Upon that Mountain; none beholds them there, Nor when the flakes burn in the sinking sun, Or the star-beams dart through them:—Winds contend Silently there, and heap the snow with breath Rapid and strong, but silently!",1,boundary_error,beams,star-beams
,LANDSCAPE,LANDSCAPE,s00178,"They congregated round me; the unstained snowy mountain-top, the glittering pinnacle, the pine woods, and ragged bare ravine, the eagle, soaring amidst the clouds—they all gathered round me and bade me be at peace.",1,boundary_error,mountain-,mountain-top
,LANDSCAPE,LANDSCAPE,s00178,"They congregated round me; the unstained snowy mountain-top, the glittering pinnacle, the pine woods, and ragged bare ravine, the eagle, soaring amidst the clouds—they all gathered round me and bade me be at peace.",1,boundary_error,top,mountain-top
,FLORA,FLORA,s00178,"They congregated round me; the unstained snowy mountain-top, the glittering pinnacle, the pine woods, and ragged bare ravine, the eagle, soaring amidst the clouds—they all gathered round me and bade me be at peace.",1,boundary_error,pine,pine woods
,FLORA,FLORA,s00178,"They congregated round me; the unstained snowy mountain-top, the glittering pinnacle, the pine woods, and ragged bare ravine, the eagle, soaring amidst the clouds—they all gathered round me and bade me be at peace.",1,boundary_error,woods,pine woods
,LANDSCAPE,LANDSCAPE,s00127,"Then I passed-- The nights of years in sciences untaught, Save in the old-time; and with time and toil, And terrible ordeal, and such penance As in itself hath power upon the air, And spirits that do compass air and earth, Space, and the peopled Infinite, I made Mine eyes familiar with Eternity, 90 Such as, before me, did the Magi, and He who from out their fountain-dwellings raised Eros and Anteros,at Gadara, As I do thee;--and with my knowledge grew The thirst of knowledge, and the power and joy Of this most bright intelligence, until---- _",1,boundary_error,fountain,fountain-dwellings
horizon,WEATHER,,s00301,"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",1,spurious,,
sea-,LANDSCAPE,,s00411,"we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated.",1,spurious,,
meadow-,LANDSCAPE,,s00771,"It raised my hair, it fanned my cheek Like a meadow-gale of spring-- It mingled strangely with my fears, Yet it felt like a welcoming.",1,spurious,,
spring,WEATHER,,s00771,"It raised my hair, it fanned my cheek Like a meadow-gale of spring-- It mingled strangely with my fears, Yet it felt like a welcoming.",1,spurious,,
Night,WEATHER,,s00680,"Her lips were red, her looks were free, Her locks were yellow as gold: Her skin was as white as leprosy, The Night-Mare LIFE-IN-DEATH was she, Who thicks man's blood with cold.",1,spurious,,
-,LANDSCAPE,,s00680,"Her lips were red, her looks were free, Her locks were yellow as gold: Her skin was as white as leprosy, The Night-Mare LIFE-IN-DEATH was she, Who thicks man's blood with cold.",1,spurious,,
day,WEATHER,,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,spurious,,
cottage,FLORA,,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,spurious,,
-,LANDSCAPE,,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,spurious,,
ground,FLORA,,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,spurious,,
landscape,LANDSCAPE,,s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",1,spurious,,
surface,LANDSCAPE,,s00205,"The surface is very uneven, rising like the waves of a troubled sea, descending low, and interspersed by rifts that sink deep.",1,spurious,,
mountain-,LANDSCAPE,,s00020,"And now again 'tis black,--and now, the glee Of the loud hills shakes with its mountain-mirth, As if they did rejoice o'er a young earthquake's birth.",1,spurious,,
-tower,LANDSCAPE,,s00589,"Like a Poet hidden In the light of thought, Singing hymns unbidden, Till the world is wrought To sympathy with hopes and fears it heeded not: Like a high-born maiden In a palace-tower, Soothing her love-laden Soul in secret hour With music sweet as love, which overflows her bower: Like a glow-worm golden In a dell of dew, Scattering unbeholden Its aereal hue Among the flowers and grass, which screen it from the view!",1,spurious,,
of,WEATHER,,s00589,"Like a Poet hidden In the light of thought, Singing hymns unbidden, Till the world is wrought To sympathy with hopes and fears it heeded not: Like a high-born maiden In a palace-tower, Soothing her love-laden Soul in secret hour With music sweet as love, which overflows her bower: Like a glow-worm golden In a dell of dew, Scattering unbeholden Its aereal hue Among the flowers and grass, which screen it from the view!",1,spurious,,
plumes,WEATHER,,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,spurious,,
jag,LANDSCAPE,,s00569,"The sanguine Sunrise, with his meteor eyes, And his burning plumes outspread, Leaps on the back of my sailing rack, When the morning star shines dead; As on the jag of a mountain crag, Which an earthquake rocks and swings, An eagle alit one moment may sit In the light of its golden wings.",1,spurious,,
wind,WEATHER,,s00528,"Far, far above, piercing the infinite sky, Mont Blanc appears,—still, snowy, and serene— Its subject mountains their unearthly forms Pile around it, ice and rock; broad vales between Of frozen floods, unfathomable deeps, Blue as the overhanging heaven, that spread And wind among the accumulated steeps; A desert peopled by the storms alone, Save when the eagle brings some hunter’s bone, And the wolf tracts her there—how hideously Its shapes are heaped around!",1,spurious,,
hunter,FAUNA,,s00528,"Far, far above, piercing the infinite sky, Mont Blanc appears,—still, snowy, and serene— Its subject mountains their unearthly forms Pile around it, ice and rock; broad vales between Of frozen floods, unfathomable deeps, Blue as the overhanging heaven, that spread And wind among the accumulated steeps; A desert peopled by the storms alone, Save when the eagle brings some hunter’s bone, And the wolf tracts her there—how hideously Its shapes are heaped around!",1,spurious,,
world,LANDSCAPE,,s00002,"thy contrasted lake, With the wild world I dwelt in, is a thing Which warns me, with its stillness, to forsake Earth's troubled waters for a purer spring.",1,spurious,,
showers,WEATHER,,s00563,"I bring fresh showers for the thirsting flowers, From the seas and the streams; I bear light shade for the leaves when laid In their noonday dreams.",1,spurious,,
moonless,WEATHER,,s00541,"In the calm darkness of the moonless nights, In the lone glare of day, the snows descend Upon that Mountain; none beholds them there, Nor when the flakes burn in the sinking sun, Or the star-beams dart through them:—Winds contend Silently there, and heap the snow with breath Rapid and strong, but silently!",1,spurious,,
glare,WEATHER,,s00541,"In the calm darkness of the moonless nights, In the lone glare of day, the snows descend Upon that Mountain; none beholds them there, Nor when the flakes burn in the sinking sun, Or the star-beams dart through them:—Winds contend Silently there, and heap the snow with breath Rapid and strong, but silently!",1,spurious,,
torrents,LANDSCAPE,,s00181,"The rain was pouring in torrents, and thick mists hid the summits of the mountains, so that I even saw not the faces of those mighty friends.",1,spurious,,
sides,LANDSCAPE,,s00173,"The abrupt sides of vast mountains were before me; the icy wall of the glacier overhung me; a few shattered pines were scattered around; and the solemn silence of this glorious presence-chamber of imperial Nature was broken only by the brawling waves or the fall of some vast fragment, the thunder sound of the avalanche or the cracking, reverberated along the mountains, of the accumulated ice, which, through the silent working of immutable laws, was ever and anon rent and torn, as if it had been but a plaything in their hands.",1,spurious,,
thunder,WEATHER,,s00173,"The abrupt sides of vast mountains were before me; the icy wall of the glacier overhung me; a few shattered pines were scattered around; and the solemn silence of this glorious presence-chamber of imperial Nature was broken only by the brawling waves or the fall of some vast fragment, the thunder sound of the avalanche or the cracking, reverberated along the mountains, of the accumulated ice, which, through the silent working of immutable laws, was ever and anon rent and torn, as if it had been but a plaything in their hands.",1,spurious,,
boughs,FLORA,,s00546,"Thou on whose stream, mid the steep sky’s commotion, Loose clouds like earth’s decaying leaves are shed, Shook from the tangled boughs of Heaven and Ocean, Angels of rain and lightning: there are spread On the blue surface of thine aery surge, Like the bright hair uplifted from the head Of some fierce Maenad, even from the dim verge Of the horizon to the zenith’s height, The locks of the approaching storm.",1,spurious,,
rain,WEATHER,,s00546,"Thou on whose stream, mid the steep sky’s commotion, Loose clouds like earth’s decaying leaves are shed, Shook from the tangled boughs of Heaven and Ocean, Angels of rain and lightning: there are spread On the blue surface of thine aery surge, Like the bright hair uplifted from the head Of some fierce Maenad, even from the dim verge Of the horizon to the zenith’s height, The locks of the approaching storm.",1,spurious,,
