sentence_id,sentence_text,target_span,entity_type,source,dep,dep_gloss,governing_verb
s00096,"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",wind,WEATHER,gold,poss,Other (poss),pastime
s00096,"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",rocks,LANDSCAPE,gold,pobj,Object of Preposition,upon
s00096,"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",Heavens,WEATHER,gold,dobj,Direct Object (action done to it),open
s00703,"I looked upon the rotting sea, And drew my eyes away; I looked upon the rotting deck, And there the dead men lay.",sea,LANDSCAPE,gold,pobj,Object of Preposition,upon
s00622,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,beasts,FAUNA,gold,conj,Conjoined Element (shares role with another entity),shape
s00622,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,drifts,WEATHER,gold,pobj,Object of Preposition,through
s00622,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,clifts,LANDSCAPE,gold,nsubj,Active Subject (doing the action),send
s00775,Is this the hill?,hill,LANDSCAPE,gold,attr,Attribute (X is a Y),be
s00719,"The silly buckets on the deck, That had so long remained, I dreamt that they were filled with dew; And when I awoke, it rained.",dew,WEATHER,gold,pobj,Object of Preposition,with
s00298,"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",breeze,WEATHER,gold,nsubj,Active Subject (doing the action),give
s00424,"In the morning, however, as soon as it was light, I went upon deck and found all the sailors busy on one side of the vessel, apparently talking to someone in the sea.",sea,LANDSCAPE,gold,pobj,Object of Preposition,in
s00796,"He'll shrieve my soul, he'll wash away The Albatross's blood.",Albatross,FAUNA,gold,poss,Other (poss),blood
s00024,"But where of ye, O tempests! is the goal?",tempests,WEATHER,gold,npadvmod,Other (npadvmod),where
s00411,"we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated.",ice,WEATHER,gold,pobj,Object of Preposition,by
s00534,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",mountains,LANDSCAPE,gold,appos,Appositive,this
s00534,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",Power,NATURE,gold,nsubj,Active Subject (doing the action),dwell
s00534,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",earth,LANDSCAPE,gold,pobj,Object of Preposition,of
s00750,"By him who died on cross, With his cruel bow he laid full low, The harmless Albatross.",Albatross,FAUNA,gold,dep,Other (dep),lay
s00087,Which I outlive!--Ye toppling crags of ice!,crags,LANDSCAPE,gold,dobj,Direct Object (action done to it),topple
s00087,Which I outlive!--Ye toppling crags of ice!,ice,WEATHER,gold,pobj,Object of Preposition,of
s00714,"no tongue Their beauty might declare: A spring of love gushed from my heart, And I blessed them unaware: Sure my kind saint took pity on me, And I blessed them unaware.",spring,WEATHER,gold,nsubj,Active Subject (doing the action),gush
s00743,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",snow,WEATHER,gold,conj,Conjoined Element (shares role with another entity),mist
s00743,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",spirit,NATURE,gold,nsubj,Active Subject (doing the action),slide
s00743,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",mist,WEATHER,gold,pobj,Object of Preposition,of
s00667,"Hither to work us weal; Without a breeze, without a tide, She steadies with upright keel!",breeze,WEATHER,gold,pobj,Object of Preposition,without
s00532,"The wilderness has a mysterious tongue Which teaches awful doubt, or faith so mild, So solemn, so serene, that man may be, But for such faith, with nature reconciled; Thou hast a voice, great Mountain, to repeal Large codes of fraud and woe; not understood By all, but which the wise, and great, and good Interpret, or make felt, or deeply feel.",Mountain,LANDSCAPE,gold,npadvmod,Other (npadvmod),hast
s00532,"The wilderness has a mysterious tongue Which teaches awful doubt, or faith so mild, So solemn, so serene, that man may be, But for such faith, with nature reconciled; Thou hast a voice, great Mountain, to repeal Large codes of fraud and woe; not understood By all, but which the wise, and great, and good Interpret, or make felt, or deeply feel.",wilderness,LANDSCAPE,gold,nsubj,Active Subject (doing the action),have
s00621,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",snow,WEATHER,gold,conj,Conjoined Element (shares role with another entity),mist
s00621,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",ice,WEATHER,gold,nsubj,Active Subject (doing the action),came
s00621,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",mist,WEATHER,gold,nsubj,Active Subject (doing the action),come
s00203,A mist covered both that and the surrounding mountains.,mountains,LANDSCAPE,gold,conj,Conjoined Element (shares role with another entity),that
s00203,A mist covered both that and the surrounding mountains.,mist,WEATHER,gold,nsubj,Active Subject (doing the action),cover
s00202,For some time I sat upon the rock that overlooks the sea of ice.,sea of ice,LANDSCAPE,gold,dobj,Direct Object (action done to it),overlook
s00202,For some time I sat upon the rock that overlooks the sea of ice.,rock,LANDSCAPE,gold,pobj,Object of Preposition,upon
s00496,"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",sea,LANDSCAPE,gold,conj,Conjoined Element (shares role with another entity),sky
s00496,"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",sky,WEATHER,gold,nsubj,Active Subject (doing the action),seem
s00771,"It raised my hair, it fanned my cheek Like a meadow-gale of spring-- It mingled strangely with my fears, Yet it felt like a welcoming.",gale,WEATHER,gold,pobj,Object of Preposition,like
s00196,"If our impulses were confined to hunger, thirst, and desire, we might be nearly free; but now we are moved by every wind that blows and a chance word or scene that that word may convey to us.",wind,WEATHER,gold,pobj,Object of Preposition,by
s00661,"As if it dodged a water-sprite, It plunged and tacked and veered.",water-sprite,NATURE,gold,dobj,Direct Object (action done to it),dodge
s00795,He singeth loud his godly hymns That he makes in the wood.,wood,FLORA,gold,pobj,Object of Preposition,in
s00695,"And thou art long, and lank, and brown, As is the ribbed sea-sand.",sea-sand,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00615,"And he shone bright, and on the right Went down into the sea.",sea,LANDSCAPE,gold,pobj,Object of Preposition,into
s00642,"Day after day, day after day, We stuck, nor breath nor motion; As idle as a painted ship Upon a painted ocean.",ocean,LANDSCAPE,gold,pobj,Object of Preposition,upon
s00642,"Day after day, day after day, We stuck, nor breath nor motion; As idle as a painted ship Upon a painted ocean.",breath,WEATHER,gold,conj,Conjoined Element (shares role with another entity),stick
s00169,"Yet in this hour I dread the thing I dare: Until this hour I never shrunk to gaze 200 On spirit, good or evil--now I tremble, And feel a strange cold thaw upon my heart.",thaw,WEATHER,gold,dobj,Direct Object (action done to it),feel
s00814,"Stunned by that loud and dreadful sound, Which sky and ocean smote, Like one that hath been seven days drowned My body lay afloat; But swift as dreams, myself I found Within the Pilot's boat.",ocean,LANDSCAPE,gold,conj,Conjoined Element (shares role with another entity),sky
s00814,"Stunned by that loud and dreadful sound, Which sky and ocean smote, Like one that hath been seven days drowned My body lay afloat; But swift as dreams, myself I found Within the Pilot's boat.",sky,WEATHER,gold,nsubj,Active Subject (doing the action),smite
s00332,"The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.",cold,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00800,He kneels at morn and noon and eve-- He hath a cushion plump: It is the moss that wholly hides The rotted old oak-stump.,oak-stump,FLORA,gold,dobj,Direct Object (action done to it),hide
s00800,He kneels at morn and noon and eve-- He hath a cushion plump: It is the moss that wholly hides The rotted old oak-stump.,moss,FLORA,gold,attr,Attribute (X is a Y),be
s00868,"The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there.",air,WEATHER,gold,dobj,Direct Object (action done to it),catch
s00868,"The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there.",twigs,FLORA,gold,nsubj,Active Subject (doing the action),spread
s00014,"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",crags,LANDSCAPE,gold,dep,Other (dep),leap
s00014,"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",thunder,WEATHER,gold,nsubj,Active Subject (doing the action),leap
s00014,"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",peak,LANDSCAPE,gold,pobj,Object of Preposition,from
s00722,"And soon I heard a roaring wind: It did not come anear; But with its sound it shook the sails, That were so thin and sere.",wind,WEATHER,gold,dobj,Direct Object (action done to it),hear
s00699,"Alone, alone, all, all alone, Alone on a wide wide sea!",sea,LANDSCAPE,gold,pobj,Object of Preposition,on
s00783,"And the bay was white with silent light, Till rising from the same, Full many shapes, that shadows were, In crimson colours came.",bay,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00680,"Her lips were red, her looks were free, Her locks were yellow as gold: Her skin was as white as leprosy, The Night-Mare LIFE-IN-DEATH was she, Who thicks man's blood with cold.",cold,WEATHER,gold,pobj,Object of Preposition,with
s00450,"“Then I fancy we have seen him, for the day before we picked you up we saw some dogs drawing a sledge, with a man in it, across the ice.”",dogs,FAUNA,gold,nsubj,Active Subject (doing the action),draw
s00632,"From the fiends, that plague thee thus!-- Why look'st thou so?""--With my cross-bow I shot the ALBATROSS.",ALBATROSS,FAUNA,gold,dobj,Direct Object (action done to it),shoot
s00384,"I am practically industrious—painstaking, a workman to execute with perseverance and labour—but besides this there is a love for the marvellous, a belief in the marvellous, intertwined in all my projects, which hurries me out of the common pathways of men, even to the wild sea and unvisited regions I am about to explore.",sea,LANDSCAPE,gold,pobj,Object of Preposition,to
s00815,"Upon the whirl, where sank the ship, The boat spun round and round; And all was still, save that the hill Was telling of the sound.",hill,LANDSCAPE,gold,nsubj,Active Subject (doing the action),tell
s00815,"Upon the whirl, where sank the ship, The boat spun round and round; And all was still, save that the hill Was telling of the sound.",whirl,LANDSCAPE,gold,pobj,Object of Preposition,upon
s00580,"Hail to thee, blithe Spirit!",Spirit,NATURE,gold,npadvmod,Other (npadvmod),hail
s00674,"Are those her sails that glance in the Sun, Like restless gossameres!",Sun,WEATHER,gold,pobj,Object of Preposition,in
s00004,"It is the hush of night, and all between Thy margin and the mountains, dusk, yet clear, Mellowed and mingling, yet distinctly seen.",mountains,LANDSCAPE,gold,conj,Conjoined Element (shares role with another entity),margin
s00004,"It is the hush of night, and all between Thy margin and the mountains, dusk, yet clear, Mellowed and mingling, yet distinctly seen.",night,WEATHER,gold,pobj,Object of Preposition,of
s00004,"It is the hush of night, and all between Thy margin and the mountains, dusk, yet clear, Mellowed and mingling, yet distinctly seen.",margin,LANDSCAPE,gold,pobj,Object of Preposition,between
s00571,"With wings folded I rest, on mine aery nest, As still as a brooding dove.",dove,FAUNA,gold,pobj,Object of Preposition,as
s00592,What objects are the fountains Of thy happy strain?,fountains,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00649,And some in dreams assured were Of the spirit that plagued us so: Nine fathom deep he had followed us From the land of mist and snow.,spirit,NATURE,gold,pobj,Object of Preposition,of
s00649,And some in dreams assured were Of the spirit that plagued us so: Nine fathom deep he had followed us From the land of mist and snow.,snow,WEATHER,gold,conj,Conjoined Element (shares role with another entity),mist
s00649,And some in dreams assured were Of the spirit that plagued us so: Nine fathom deep he had followed us From the land of mist and snow.,mist,WEATHER,gold,pobj,Object of Preposition,of
s00201,It was nearly noon when I arrived at the top of the ascent.,ascent,LANDSCAPE,gold,pobj,Object of Preposition,of
s00421,"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship.",sea,LANDSCAPE,gold,dobj,Direct Object (action done to it),hear
s00421,"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship.",ice,WEATHER,gold,nsubj,Active Subject (doing the action),break
s00746,"Then like a pawing horse let go, She made a sudden bound: It flung the blood into my head, And I fell down in a swound.",horse,FAUNA,gold,nsubj,Active Subject (doing the action),let
s00756,What is the OCEAN doing?,OCEAN,LANDSCAPE,gold,nsubj,Active Subject (doing the action),do
s00207,The opposite mountain is a bare perpendicular rock.,mountain,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00207,The opposite mountain is a bare perpendicular rock.,rock,LANDSCAPE,gold,attr,Attribute (X is a Y),be
s00296,"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.",breeze,WEATHER,gold,nsubj,Active Subject (doing the action),play
s00581,"Bird thou never wert, That from Heaven, or near it, Pourest thy full heart In profuse strains of unpremeditated art.",Bird,FAUNA,gold,dep,Other (dep),pourest
s00581,"Bird thou never wert, That from Heaven, or near it, Pourest thy full heart In profuse strains of unpremeditated art.",Heaven,WEATHER,gold,pobj,Object of Preposition,from
s00725,"And to and fro, and in and out, The wan stars danced between.",stars,WEATHER,gold,nsubj,Active Subject (doing the action),dance
s00003,"This quiet sail is as a noiseless wing To waft me from distraction; once I loved Torn ocean's roar, but thy soft murmuring Sounds sweet as if a sister's voice reproved, That I with stern delights should e'er have been so moved.",ocean,LANDSCAPE,gold,poss,Other (poss),roar
s00648,"The water, like a witch's oils, Burnt green, and blue and white.",water,LANDSCAPE,gold,nsubj,Active Subject (doing the action),burnt
s00331,"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.",snow,WEATHER,gold,pobj,Object of Preposition,over
s00356,"Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen.",ocean,LANDSCAPE,gold,pobj,Object of Preposition,on
s00765,"I woke, and we were sailing on As in a gentle weather: 'Twas night, calm night, the Moon was high; The dead men stood together.",weather,WEATHER,gold,pobj,Object of Preposition,in
s00765,"I woke, and we were sailing on As in a gentle weather: 'Twas night, calm night, the Moon was high; The dead men stood together.",Moon,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00765,"I woke, and we were sailing on As in a gentle weather: 'Twas night, calm night, the Moon was high; The dead men stood together.",night,WEATHER,gold,pobj,Object of Preposition,twa
s00189,"The ascent is precipitous, but the path is cut into continual and short windings, which enable you to surmount the perpendicularity of the mountain.",ascent,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00189,"The ascent is precipitous, but the path is cut into continual and short windings, which enable you to surmount the perpendicularity of the mountain.",mountain,LANDSCAPE,gold,pobj,Object of Preposition,of
s00565,"I wield the flail of the lashing hail, And whiten the green plains under, And then again I dissolve it in rain, And laugh as I pass in thunder.",hail,WEATHER,gold,pobj,Object of Preposition,of
s00565,"I wield the flail of the lashing hail, And whiten the green plains under, And then again I dissolve it in rain, And laugh as I pass in thunder.",plains,LANDSCAPE,gold,dobj,Direct Object (action done to it),whiten
s00565,"I wield the flail of the lashing hail, And whiten the green plains under, And then again I dissolve it in rain, And laugh as I pass in thunder.",rain,WEATHER,gold,pobj,Object of Preposition,in
s00565,"I wield the flail of the lashing hail, And whiten the green plains under, And then again I dissolve it in rain, And laugh as I pass in thunder.",thunder,WEATHER,gold,pobj,Object of Preposition,in
s00872,"The sun above the mountain’s head, A freshening lustre mellow, Through all the long green fields has spread, His first sweet evening yellow.",sun,WEATHER,gold,nsubj,Active Subject (doing the action),spread
s00872,"The sun above the mountain’s head, A freshening lustre mellow, Through all the long green fields has spread, His first sweet evening yellow.",mountain’s head,LANDSCAPE,gold,pobj,Object of Preposition,above
s00872,"The sun above the mountain’s head, A freshening lustre mellow, Through all the long green fields has spread, His first sweet evening yellow.",fields,LANDSCAPE,gold,pobj,Object of Preposition,through
s00872,"The sun above the mountain’s head, A freshening lustre mellow, Through all the long green fields has spread, His first sweet evening yellow.",evening,WEATHER,gold,nsubj,Active Subject (doing the action),yellow
s00402,"Thus far I have gone, tracing a secure way over the pathless seas, the very stars themselves being witnesses and testimonies of my triumph.",seas,LANDSCAPE,gold,pobj,Object of Preposition,over
s00402,"Thus far I have gone, tracing a secure way over the pathless seas, the very stars themselves being witnesses and testimonies of my triumph.",stars,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00307,"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",river,LANDSCAPE,gold,pobj,Object of Preposition,up
s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",night,WEATHER,gold,npadvmod,Other (npadvmod),glimmer
s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",fog-smoke,WEATHER,gold,pobj,Object of Preposition,through
s00630,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",Moon-shine,WEATHER,gold,dobj,Direct Object (action done to it),glimmer
s00311,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,seas,LANDSCAPE,gold,pobj,Object of Preposition,through
s00311,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,pole,LANDSCAPE,gold,dobj,Direct Object (action done to it),surround
s00311,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,North Pacific Ocean,LANDSCAPE,gold,pobj,Object of Preposition,at
s00797,This Hermit good lives in that wood Which slopes down to the sea.,wood,FLORA,gold,pobj,Object of Preposition,in
s00797,This Hermit good lives in that wood Which slopes down to the sea.,sea,LANDSCAPE,gold,pobj,Object of Preposition,to
s00015,"Not from one lone cloud, But every mountain now hath found a tongue; And Jura answers, through her misty shroud, Back to the joyous Alps, who call to her aloud!",cloud,WEATHER,gold,pobj,Object of Preposition,from
s00015,"Not from one lone cloud, But every mountain now hath found a tongue; And Jura answers, through her misty shroud, Back to the joyous Alps, who call to her aloud!",mountain,LANDSCAPE,gold,nsubj,Active Subject (doing the action),find
s00015,"Not from one lone cloud, But every mountain now hath found a tongue; And Jura answers, through her misty shroud, Back to the joyous Alps, who call to her aloud!",Jura,LANDSCAPE,gold,nsubj,Active Subject (doing the action),answer
s00015,"Not from one lone cloud, But every mountain now hath found a tongue; And Jura answers, through her misty shroud, Back to the joyous Alps, who call to her aloud!",Alps,LANDSCAPE,gold,pobj,Object of Preposition,to
s00573,"The stars peep behind her and peer; And I laugh to see them whirl and flee, Like a swarm of golden bees.",stars,WEATHER,gold,nsubj,Active Subject (doing the action),peep
s00573,"The stars peep behind her and peer; And I laugh to see them whirl and flee, Like a swarm of golden bees.",bees,FAUNA,gold,pobj,Object of Preposition,of
s00751,"""The spirit who bideth by himself In the land of mist and snow, He loved the bird that loved the man Who shot him with his bow.""",spirit,NATURE,gold,dep,Other (dep),love
s00751,"""The spirit who bideth by himself In the land of mist and snow, He loved the bird that loved the man Who shot him with his bow.""",mist,WEATHER,gold,pobj,Object of Preposition,of
s00751,"""The spirit who bideth by himself In the land of mist and snow, He loved the bird that loved the man Who shot him with his bow.""",snow,WEATHER,gold,conj,Conjoined Element (shares role with another entity),mist
s00751,"""The spirit who bideth by himself In the land of mist and snow, He loved the bird that loved the man Who shot him with his bow.""",bird,FAUNA,gold,dobj,Direct Object (action done to it),love
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",morn,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",clouds,WEATHER,gold,dobj,Direct Object (action done to it),laugh
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",earth,LANDSCAPE,gold,nsubj,Active Subject (doing the action),contain
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",shores,LANDSCAPE,gold,pobj,Object of Preposition,on
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",day,WEATHER,gold,pobj,Object of Preposition,into
s00028,"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",Leman,LANDSCAPE,gold,parataxis,Other (parataxis),I
s00729,Beneath the lightning and the Moon The dead men gave a groan.,lightning,WEATHER,gold,pobj,Object of Preposition,beneath
s00729,Beneath the lightning and the Moon The dead men gave a groan.,Moon,WEATHER,gold,conj,Conjoined Element (shares role with another entity),lightning
s00380,"I am going to unexplored regions, to “the land of mist and snow,” but I shall kill no albatross; therefore do not be alarmed for my safety or if I should come back to you as worn and woeful as the “Ancient Mariner.”",mist,WEATHER,gold,pobj,Object of Preposition,of
s00380,"I am going to unexplored regions, to “the land of mist and snow,” but I shall kill no albatross; therefore do not be alarmed for my safety or if I should come back to you as worn and woeful as the “Ancient Mariner.”",albatross,FAUNA,gold,dobj,Direct Object (action done to it),kill
s00380,"I am going to unexplored regions, to “the land of mist and snow,” but I shall kill no albatross; therefore do not be alarmed for my safety or if I should come back to you as worn and woeful as the “Ancient Mariner.”",snow,WEATHER,gold,conj,Conjoined Element (shares role with another entity),mist
s00709,"The moving Moon went up the sky, And no where did abide: Softly she was going up, And a star or two beside.",Moon,WEATHER,gold,nsubj,Active Subject (doing the action),go
s00709,"The moving Moon went up the sky, And no where did abide: Softly she was going up, And a star or two beside.",sky,WEATHER,gold,pobj,Object of Preposition,up
s00709,"The moving Moon went up the sky, And no where did abide: Softly she was going up, And a star or two beside.",star,WEATHER,gold,conj,Conjoined Element (shares role with another entity),go
s00670,"And straight the Sun was flecked with bars, (Heaven's Mother send us grace!)",Sun,WEATHER,gold,nsubjpass,Passive Subject (action done to it),fleck
s00639,"The fair breeze blew, the white foam flew, The furrow followed free: We were the first that ever burst Into that silent sea.",breeze,WEATHER,gold,nsubj,Active Subject (doing the action),blow
s00639,"The fair breeze blew, the white foam flew, The furrow followed free: We were the first that ever burst Into that silent sea.",foam,LANDSCAPE,gold,nsubj,Active Subject (doing the action),fly
s00639,"The fair breeze blew, the white foam flew, The furrow followed free: We were the first that ever burst Into that silent sea.",furrow,LANDSCAPE,gold,nsubj,Active Subject (doing the action),follow
s00639,"The fair breeze blew, the white foam flew, The furrow followed free: We were the first that ever burst Into that silent sea.",sea,LANDSCAPE,gold,pobj,Object of Preposition,into
s00840,"The day is come when I again repose Here, under this dark sycamore, and view These plots of cottage-ground, these orchard-tufts, Which, at this season, with their unripe fruits, Among the woods and copses lose themselves, Nor, with their green and simple hue, disturb The wild green landscape.",sycamore,FLORA,gold,pobj,Object of Preposition,under
