sentence_id,author,work,sentence_text,band,n_candidates,candidate_words,target_span,start_char,end_char,entity_type,is_figurative,lemma,notes
s00761,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The air is cut away before, And closes from behind.",band_1,1,air,air,4,7,WEATHER,False,air,
s00482,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Have you drunk also of the intoxicating draught?,band_1,1,draught,,,,,,,
s00728,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The loud wind never reached the ship, Yet now the ship moved on!",band_1,1,wind,wind,9,13,WEATHER,False,wind,
s00258,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",band_1,1,cave,caves,36,41,LANDSCAPE,False,cave,
s00258,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",,,ice,ice,45,48,WEATHER,False,ice,
s00090,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",band_1,1,valley,valley,36,42,LANDSCAPE,False,valley,
s00090,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",,,mist,mists,4,9,WEATHER,False,mist,
s00035,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"For this is Love's recess, where vain men's woes, And the world's waste, have driven him far from those, For 'tis his nature to advance or die; He stands not still, but or decays, or grows Into a boundless blessing, which may vie With the immortal lights, in its eternity! '",band_1,1,recess,,,,,,,
s00300,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,band_1,1,frost,frost,59,64,WEATHER,False,frost,
s00300,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,,,pole,pole,39,43,LANDSCAPE,False,pole,
s00376,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",band_1,1,spring,spring,47,53,WEATHER,False,spring,
s00376,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",,,winter,winter,4,10,WEATHER,False,winter,
s00867,William Wordsworth,Lines Written in Early Spring,"The birds around me hopp’d and play’d: Their thoughts I cannot measure, But the least motion which they made, It seem’d a thrill of pleasure.",band_1,1,bird,birds,4,9,FAUNA,False,bird,
s00301,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",band_1,1,sun,sun,21,24,WEATHER,False,sun,
s00142,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),Daughter of Air!,band_1,1,air,Daughter of Air,0,15,NATURE,False,,"A personified being named via association with a domain, same structure as 'Witch of the Alps' — tagged as one NATURE span, not 'Air' alone."
s00505,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"You seek for knowledge and wisdom, as I once did; and I ardently hope that the gratification of your wishes may not be a serpent to sting you, as mine has been.",band_1,1,serpent,serpent,121,128,FAUNA,True,serpent,"Simile, the entity is not literally present."
s00369,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"He had already bought a farm with his money, on which he had designed to pass the remainder of his life; but he bestowed the whole on his rival, together with the remains of his prize-money to purchase stock, and then himself solicited the young woman’s father to consent to her marriage with her lover.",band_1,1,stock,,,,,,,
s00620,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"With sloping masts and dipping prow, As who pursued with yell and blow Still treads the shadow of his foe And forward bends his head, The ship drove fast, loud roared the blast, And southward aye we fled.",band_1,1,blast,blast,171,176,WEATHER,False,blast,
s00489,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"“I agree with you,” replied the stranger; “we are unfashioned creatures, but half made up, if one wiser, better, dearer than ourselves—such a friend ought to be—do not lend his aid to perfectionate our weak and faulty natures.",band_1,1,creature,,,,,,,
s00223,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Begone, vile insect!",band_1,1,insect,,,,,,,
s00490,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I once had a friend, the most noble of human creatures, and am entitled, therefore, to judge respecting friendship.",band_1,1,creature,,,,,,,
s00465,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I said in one of my letters, my dear Margaret, that I should find no friend on the wide ocean; yet I have found a man who, before his spirit had been broken by misery, I should have been happy to have possessed as the brother of my heart.",band_1,1,ocean,ocean,88,93,LANDSCAPE,False,ocean,
s00284,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"On you it rests, whether I quit for ever the neighbourhood of man and lead a harmless life, or become the scourge of your fellow creatures and the author of your own speedy ruin.”",band_1,1,creature,,,,,,,
s00354,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"It is true that I have thought more and that my daydreams are more extended and magnificent, but they want (as the painters call it) _",band_1,1,painter,,,,,,,
s00096,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",band_1,1,wind,wind,142,146,WEATHER,False,wind,
s00096,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",,,,rocks,128,133,LANDSCAPE,False,rock,
s00096,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",,,,Heavens,230,237,WEATHER,False,heaven,
s00243,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me.",band_1,1,creature,,,,,,,
s00703,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"I looked upon the rotting sea, And drew my eyes away; I looked upon the rotting deck, And there the dead men lay.",band_1,1,sea,sea,26,29,LANDSCAPE,False,sea,
s00316,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,band_1,1,homer,,,,,,,
s00762,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Fly, brother, fly!",band_1,1,fly,,,,,,,
s00622,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,band_1,1,beast,beasts,87,93,FAUNA,False,beast,
s00622,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,,,,drifts,16,22,WEATHER,False,drift,
s00622,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,,,,clifts,33,39,LANDSCAPE,False,clift,
s00775,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,Is this the hill?,band_1,1,hill,hill,12,16,LANDSCAPE,False,hill,
s00359,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity.",band_1,1,humanity,,,,,,,
s00719,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The silly buckets on the deck, That had so long remained, I dreamt that they were filled with dew; And when I awoke, it rained.",band_1,1,dew,dew,94,97,WEATHER,False,dew,
s00298,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",band_1,1,breeze,breeze,5,11,WEATHER,False,breeze,
s00424,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"In the morning, however, as soon as it was light, I went upon deck and found all the sailors busy on one side of the vessel, apparently talking to someone in the sea.",band_1,1,sea,sea,162,165,LANDSCAPE,False,sea,
s00081,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Enter from below a_ CHAMOIS HUNTER.,band_1,1,chamois,,,,,,,
s00796,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"He'll shrieve my soul, he'll wash away The Albatross's blood.",band_1,1,albatross,Albatross,43,52,FAUNA,False,albatross,
s00024,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"But where of ye, O tempests! is the goal?",band_1,1,tempest,tempests,19,27,WEATHER,False,tempest,
s00411,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated.",band_1,1,sea,ice,29,32,WEATHER,False,ice,
s00534,Percy Shelley,Mont Blanc,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",band_1,1,mountain,mountains,154,163,LANDSCAPE,False,mountain,
s00534,Percy Shelley,Mont Blanc,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",,,,Power,0,5,NATURE,False,power,
s00534,Percy Shelley,Mont Blanc,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",,,,earth,109,114,LANDSCAPE,False,earth,
s00750,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"By him who died on cross, With his cruel bow he laid full low, The harmless Albatross.",band_1,1,albatross,Albatross,76,85,FAUNA,False,albatross,
s00087,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Which I outlive!--Ye toppling crags of ice!,band_1,1,crag,crags,30,35,LANDSCAPE,False,crag,
s00087,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Which I outlive!--Ye toppling crags of ice!,,,,ice,39,42,WEATHER,False,ice,
s00289,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"For the first time, also, I felt what the duties of a creator towards his creature were, and that I ought to render him happy before I complained of his wickedness.",band_1,1,creature,,,,,,,
s00714,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"no tongue Their beauty might declare: A spring of love gushed from my heart, And I blessed them unaware: Sure my kind saint took pity on me, And I blessed them unaware.",band_1,1,spring,spring,40,46,WEATHER,True,spring,
s00743,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",band_1,1,snow,snow,59,63,WEATHER,False,snow,
s00743,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",,,,spirit,69,75,NATURE,False,spirit,
s00743,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",,,,mist,50,54,WEATHER,False,mist,
s00667,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Hither to work us weal; Without a breeze, without a tide, She steadies with upright keel!",band_1,1,breeze,breeze,34,40,WEATHER,False,breeze,
s00532,Percy Shelley,Mont Blanc,"The wilderness has a mysterious tongue Which teaches awful doubt, or faith so mild, So solemn, so serene, that man may be, But for such faith, with nature reconciled; Thou hast a voice, great Mountain, to repeal Large codes of fraud and woe; not understood By all, but which the wise, and great, and good Interpret, or make felt, or deeply feel.",band_1,1,mountain,Mountain,192,200,LANDSCAPE,False,mountain,
s00532,Percy Shelley,Mont Blanc,"The wilderness has a mysterious tongue Which teaches awful doubt, or faith so mild, So solemn, so serene, that man may be, But for such faith, with nature reconciled; Thou hast a voice, great Mountain, to repeal Large codes of fraud and woe; not understood By all, but which the wise, and great, and good Interpret, or make felt, or deeply feel.",,,,wilderness,4,14,LANDSCAPE,False,wilderness,
s00621,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",band_1,1,snow,snow,33,37,WEATHER,False,snow,
s00621,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",,,,ice,70,73,WEATHER,False,ice,
s00621,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",,,,mist,24,28,WEATHER,False,mist,
s00203,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),A mist covered both that and the surrounding mountains.,band_1,1,mountain,mountains,45,54,LANDSCAPE,False,mountain,
s00203,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),A mist covered both that and the surrounding mountains.,,,,mist,2,6,WEATHER,False,mist,
s00334,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing.",band_1,1,whale,,,,,,,
s00202,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),For some time I sat upon the rock that overlooks the sea of ice.,band_1,1,sea,sea of ice,53,63,LANDSCAPE,False,,"composition (""sea of ice"") describes a generic image"
s00202,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),For some time I sat upon the rock that overlooks the sea of ice.,,,,rock,29,33,LANDSCAPE,False,rock,
s00323,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.",band_1,1,mate,,,,,,,
s00496,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",band_1,1,sea,sea,20,23,LANDSCAPE,False,sea,
s00496,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",,,,sky,11,14,WEATHER,False,sky,
s00771,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"It raised my hair, it fanned my cheek Like a meadow-gale of spring-- It mingled strangely with my fears, Yet it felt like a welcoming.",band_1,1,gale,gale,52,56,WEATHER,True,gale,"Here, it refers to the returning wind that is being compared to a meadow-gale, so the gale itself isn't literally the wind that's blowing — it's the vehicle of the simile."
s00707,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,An orphan's curse would drag to Hell A spirit from on high; But oh! more horrible than that Is a curse in a dead man's eye!,band_1,1,orphan,,,,,,,"Here, spirit/hell/curse are all religious and moral vocabulary, no nature entities."
s00196,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If our impulses were confined to hunger, thirst, and desire, we might be nearly free; but now we are moved by every wind that blows and a chance word or scene that that word may convey to us.",band_1,1,wind,wind,116,120,WEATHER,True,wind,
s00661,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"As if it dodged a water-sprite, It plunged and tacked and veered.",band_1,1,water,water-sprite,18,30,NATURE,True,,It is a nature-spirit by definition (same category as the Witch of the Alps) just invoked here as a simile-comparison rather than an appearing character.
s00795,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,He singeth loud his godly hymns That he makes in the wood.,band_1,1,wood,wood,53,57,FLORA,False,wood,
s00695,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And thou art long, and lank, and brown, As is the ribbed sea-sand.",band_1,1,sea,sea-sand,57,65,LANDSCAPE,True,,
s00615,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And he shone bright, and on the right Went down into the sea.",band_1,1,sea,sea,57,60,LANDSCAPE,False,sea,
s00642,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Day after day, day after day, We stuck, nor breath nor motion; As idle as a painted ship Upon a painted ocean.",band_1,1,ocean,ocean,104,109,LANDSCAPE,True,ocean,
s00642,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Day after day, day after day, We stuck, nor breath nor motion; As idle as a painted ship Upon a painted ocean.",,,,breath,44,50,WEATHER,False,breath,"Here, breath refers to the wind."
s00270,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You accuse me of murder, and yet you would, with a satisfied conscience, destroy your own creature.",band_1,1,creature,,,,,,,
s00253,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Will no entreaties cause thee to turn a favourable eye upon thy creature, who implores thy goodness and compassion?",band_1,1,creature,,,,,,,
s00169,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"Yet in this hour I dread the thing I dare: Until this hour I never shrunk to gaze 200 On spirit, good or evil--now I tremble, And feel a strange cold thaw upon my heart.",band_1,1,thaw,thaw,150,154,WEATHER,True,thaw,is_figurative = True because it is a real weather-word standing in for an emotion.
s00814,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Stunned by that loud and dreadful sound, Which sky and ocean smote, Like one that hath been seven days drowned My body lay afloat; But swift as dreams, myself I found Within the Pilot's boat.",band_1,1,ocean,ocean,55,60,LANDSCAPE,False,ocean,
s00814,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Stunned by that loud and dreadful sound, Which sky and ocean smote, Like one that hath been seven days drowned My body lay afloat; But swift as dreams, myself I found Within the Pilot's boat.",,,,sky,47,50,WEATHER,False,sky,
s00332,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.",band_1,1,vein,cold,4,8,WEATHER,False,cold,
s00681,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The naked hulk alongside came, And the twain were casting dice; ""The game is done!",band_1,1,game,,,,,,,
s00800,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,He kneels at morn and noon and eve-- He hath a cushion plump: It is the moss that wholly hides The rotted old oak-stump.,band_1,1,oak,oak-stump,110,119,FLORA,False,,
s00800,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,He kneels at morn and noon and eve-- He hath a cushion plump: It is the moss that wholly hides The rotted old oak-stump.,,,,moss,72,76,FLORA,False,moss,
s00868,William Wordsworth,Lines Written in Early Spring,"The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there.",band_1,1,air,air,60,63,WEATHER,False,air,
s00868,William Wordsworth,Lines Written in Early Spring,"The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there.",,,,twigs,12,17,FLORA,False,twig,
s00014,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",band_1,1,crag,crags,43,48,LANDSCAPE,False,crag,
s00014,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",,,,thunder,71,78,WEATHER,False,thunder,
