sentence_id,author,work,sentence_text,n_candidates,candidate_words,candidate_entity_types,band
s00012,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),The sky is changed!--and such a change!,0,,,band_0
s00013,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"O night, And storm, and darkness, ye are wondrous strong, Yet lovely in your strength, as is the light Of a dark eye in woman!",1,storm,WEATHER,band_1
s00014,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",1,crag,LANDSCAPE,band_1
s00015,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Not from one lone cloud, But every mountain now hath found a tongue; And Jura answers, through her misty shroud, Back to the joyous Alps, who call to her aloud!",2,cloud; mountain,LANDSCAPE; WEATHER,band_2
s00016,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),And this is in the night:--Most glorious night!,0,,,band_0
s00017,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Thou wert not sent for slumber!,0,,,band_0
s00018,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),let me be A sharer in thy fierce and far delight-- A portion of the tempest and of thee!,1,tempest,WEATHER,band_1
s00019,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"How the lit lake shines, a phosphoric sea, And the big rain comes dancing to the earth!",3,lake; rain; sea,LANDSCAPE; WEATHER,band_3plus
s00020,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"And now again 'tis black,--and now, the glee Of the loud hills shakes with its mountain-mirth, As if they did rejoice o'er a young earthquake's birth.",2,hill; mountain,LANDSCAPE,band_2
s00021,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Now, where the swift Rhone cleaves his way between Heights which appear as lovers who have parted In hate, whose mining depths so intervene, That they can meet no more, though broken-hearted; Though in their souls, which thus each other thwarted, Love was the very root of the fond rage Which blighted their life's bloom, and then departed: Itself expired, but leaving them an age Of years all winters--war within themselves to wage.",0,,,band_0
s00022,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Now, where the quick Rhone thus hath cleft his way, The mightiest of the storms hath ta'en his stand; For here, not one, but many, make their play, And fling their thunderbolts from hand to hand, Flashing and cast around: of all the band, The brightest through these parted hills hath forked His lightnings, as if he did understand That in such gaps as desolation worked, There the hot shaft should blast whatever therein lurked.",4,hill; lightning; storm; thunderbolt,LANDSCAPE; WEATHER,band_3plus
s00023,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Sky, mountains, river, winds, lake, lightnings! ye, With night, and clouds, and thunder, and a soul To make these felt and feeling, well may be Things that have made me watchful; the far roll Of your departing voices, is the knoll Of what in me is sleepless,--if I rest.",6,cloud; knoll; lake; mountain; river; wind,LANDSCAPE; WEATHER,band_3plus
s00024,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"But where of ye, O tempests! is the goal?",1,tempest,WEATHER,band_1
s00025,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Are ye like those within the human breast?,0,,,band_0
s00026,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Or do ye find at length, like eagles, some high nest?",1,eagle,FAUNA,band_1
s00027,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Could I embody and unbosom now That which is most within me,--could I wreak My thoughts upon expression, and thus throw Soul, heart, mind, passions, feelings, strong or weak, All that I would have sought, and all I seek, Bear, know, feel, and yet breathe--into one word, And that one word were lightning, I would speak; But as it is, I live and die unheard, With a most voiceless thought, sheathing it as a sword.",1,bear,FAUNA,band_1
s00028,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The morn is up again, the dewy morn, With breath all incense, and with cheek all bloom, Laughing the clouds away with playful scorn, And living as if earth contained no tomb,-- And glowing into day: we may resume The march of our existence: and thus I, Still on thy shores, fair Leman! may find room And food for meditation, nor pass by Much, that may give us pause, if pondered fittingly.",2,cloud; shore,LANDSCAPE; WEATHER,band_2
s00029,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Clarens! sweet Clarens! birthplace of deep Love!,0,,,band_0
s00030,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Thine air is the young breath of passionate thought; Thy trees take root in love; the snows above The very glaciers have his colours caught, And sunset into rose-hues sees them wrought By rays which sleep there lovingly: the rocks, The permanent crags, tell here of Love, who sought In them a refuge from the worldly shocks, Which stir and sting the soul with hope that woos, then mocks.",8,air; crag; glacier; ray; rose; snow; sunset; tree,FAUNA; FLORA; LANDSCAPE; WEATHER,band_3plus
s00031,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"by heavenly feet thy paths are trod,-- Undying Love's, who here ascends a throne To which the steps are mountains; where the god Is a pervading life and light,--so shown Not on those summits solely, nor alone In the still cave and forest; o'er the flower His eye is sparkling, and his breath hath blown, His soft and summer breath, whose tender power Passes the strength of storms in their most desolate hour.",4,cave; flower; mountain; storm,FLORA; LANDSCAPE; WEATHER,band_3plus
s00032,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"All things are here of HIM; from the black pines, Which are his shade on high, and the loud roar Of torrents, where he listeneth, to the vines Which slope his green path downward to the shore, Where the bowed waters meet him, and adore, Kissing his feet with murmurs; and the wood, The covert of old trees, with trunks all hoar, But light leaves, young as joy, stands where it stood, Offering to him, and his, a populous solitude.",8,black pine; pine; shore; torrent; tree; vine; water; wood,FLORA; LANDSCAPE; WEATHER,band_3plus
s00033,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"A populous solitude of bees and birds, And fairy-formed and many coloured things, Who worship him with notes more sweet than words, And innocently open their glad wings, Fearless and full of life: the gush of springs, And fall of lofty fountains, and the bend Of stirring branches, and the bud which brings The swiftest thought of beauty, here extend, Mingling, and made by Love, unto one mighty end.",6,bee; bird; branch; fall; fountain; spring,FAUNA; LANDSCAPE,band_3plus
s00034,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"He who hath loved not, here would learn that lore, And make his heart a spirit: he who knows That tender mystery, will love the more,",0,,,band_0
s00035,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"For this is Love's recess, where vain men's woes, And the world's waste, have driven him far from those, For 'tis his nature to advance or die; He stands not still, but or decays, or grows Into a boundless blessing, which may vie With the immortal lights, in its eternity! '",1,recess,LANDSCAPE,band_1
s00036,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Twas not for fiction chose Rousseau this spot, Peopling it with affections; but he found It was the scene which passion must allot To the mind's purified beings; 'twas the ground Where early Love his Psyche's zone unbound, And hallowed it with loveliness: 'tis lone, And wonderful, and deep, and hath a sound, And sense, and sight of sweetness; here the Rhone Hath spread himself a couch, the Alps have reared a throne.",0,,,band_0
s00037,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Lausanne! and Ferney!,0,,,band_0
s00038,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"ye have been the abodes Of names which unto you bequeathed a name; Mortals, who sought and found, by dangerous roads, A path to perpetuity of fame: They were gigantic minds, and their steep aim Was, Titan-like, on daring doubts to pile Thoughts which should call down thunder, and the flame Of Heaven, again assailed, if Heaven the while On man and man's research could deign do more than smile.",0,,,band_0
s00039,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The one was fire and fickleness, a child Most mutable in wishes, but in mind A wit as various,--gay, grave, sage, or wild,-- Historian, bard, philosopher combined: He multiplied himself among mankind, The Proteus of their talents: But his own Breathed most in ridicule,--which, as the wind, Blew where it listed, laying all things prone,-- Now to o'erthrow a fool, and now to shake a throne.",2,sage; wind,FLORA; WEATHER,band_2
s00040,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The other, deep and slow, exhausting thought, And hiving wisdom with each studious year, In meditation dwelt, with learning wrought, And shaped his weapon with an edge severe, Sapping a solemn creed with solemn sneer; The lord of irony,--that master spell, Which stung his foes to wrath, which grew from fear, And doomed him to the zealot's ready hell, Which answers to all doubts so eloquently well.",0,,,band_0
s00041,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Yet, peace be with their ashes,--for by them, If merited, the penalty is paid; It is not ours to judge, far less condemn; The hour must come when such things shall be made Known unto all,--or hope and dread allayed By slumber on one pillow, in the dust, Which, thus much we are sure, must lie decayed; And when it shall revive, as is our trust, 'Twill be to be forgiven, or suffer what is just.",0,,,band_0
s00042,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"But let me quit man's works, again to read His Maker's spread around me, and suspend This page, which from my reveries I feed, Until it seems prolonging without end.",0,,,band_0
s00043,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The clouds above me to the white Alps tend, And I must pierce them, and survey whate'er May be permitted, as my steps I bend To their most great and growing region, where The earth to her embrace compels the powers of air.",2,air; cloud,WEATHER,band_2
s00044,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"looking on thee Full flashes on the soul the light of ages, Since the fierce Carthaginian almost won thee, To the last halo of the chiefs and sages Who glorify thy consecrated pages; Thou wert the throne and grave of empires; still, The fount at which the panting mind assuages Her thirst of knowledge, quaffing there her fill, Flows from the eternal source of Rome's imperial hill.",3,halo; hill; sage,FLORA; LANDSCAPE; WEATHER,band_3plus
s00045,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Thus far have I proceeded in a theme Renewed with no kind auspices:--to feel We are not what we have been, and to deem We are not what we should be, and to steel The heart against itself; and to conceal, With a proud caution, love or hate, or aught,-- Passion or feeling, purpose, grief, or zeal,-- Which is the tyrant spirit of our thought, Is a stern task of soul:--No matter,--it is taught.",0,,,band_0
s00046,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"And for these words, thus woven into song, It may be that they are a harmless wile,--",0,,,band_0
s00047,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The colouring of the scenes which fleet along, Which I would seize, in passing, to beguile My breast, or that of others, for a while.",0,,,band_0
s00048,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Fame is the thirst of,0,,,band_0
s00049,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"youth,--but I am not So young as to regard men's frown or smile As loss or guerdon of a glorious lot; I stood and stand alone,--remembered or forgot.",0,,,band_0
s00050,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"I have not loved the world, nor the world me; I have not flattered its rank breath, nor bowed To its idolatries a patient knee,-- Nor coined my cheek to smiles, nor cried aloud In worship of an echo; in the crowd They could not deem me one of such; I stood Among them, but not of them; in a shroud Of thoughts which were not their thoughts, and still could, Had I not filed my mind, which thus itself subdued.",0,,,band_0
s00051,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"I have not loved the world, nor the world me,-- But let us part fair foes; I do believe, Though I have found them not, that there may be Words which are things,--hopes which will not deceive, And virtues which are merciful, nor weave Snares for the falling: I would also deem O'er others' griefs that some sincerely grieve; That two, or one, are almost what they seem,-- That goodness is no name, and happiness no dream.",0,,,band_0
s00052,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),with thy name this song begun-- My daughter!,0,,,band_0
s00053,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),with thy name this much shall end--,0,,,band_0
s00054,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"I see thee not, I hear thee not,--but none Can be so wrapt in thee; thou art the friend To whom the shadows of far years extend: Albeit my brow thou never shouldst behold, My voice shall with thy future visions blend, And reach into thy heart, when mine is cold,-- A token and a tone, even from thy father's mould.",0,,,band_0
s00055,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"To aid thy mind's development,--to watch",0,,,band_0
s00056,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Thy dawn of little joys,--to sit and see Almost thy very growth,--to view thee catch Knowledge of objects, wonders yet to thee!",0,,,band_0
s00057,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"To hold thee lightly on a gentle knee, And print on thy soft cheek a parent's kiss,--",0,,,band_0
s00058,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"This, it should seem, was not reserved for me",0,,,band_0
s00059,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Yet this was in my nature:--As it is, I know not what is there, yet something like to this.",0,,,band_0
s00060,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Yet, though dull Hate as duty should be taught, I know that thou wilt love me; though my name Should be shut from thee, as a spell still fraught With desolation, and a broken claim: Though the grave closed between us,--'twere the same, I know that thou wilt love me: though to drain MY blood from out thy being were an aim, And an attainment,--all would be in vain,--",0,,,band_0
s00061,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Still thou wouldst love me, still that more than life retain.",0,,,band_0
s00062,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The child of love,--though born in bitterness, And nurtured in convulsion.",0,,,band_0
s00063,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Of thy sire These were the elements, and thine no less.",1,sire,FAUNA,band_1
s00064,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"As yet such are around thee; but thy fire Shall be more tempered, and thy hope far higher.",0,,,band_0
s00065,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Sweet be thy cradled slumbers!,0,,,band_0
s00066,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"O'er the sea, And from the mountains where I now respire, Fain would I waft such blessing upon thee, As, with a sigh, I deem thou mightst have been to me!",2,mountain; sea,LANDSCAPE,band_2
s00067,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The spirits I have raised abandon me, The spells which I have studied baffle me, The remedy I recked of tortured me",0,,,band_0
s00068,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"I lean no more on superhuman aid; It hath no power upon the past, and for The future, till the past be gulfed in darkness, It is not of my search.--My",0,,,band_0
s00069,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Mother Earth!And thou fresh-breaking Day, and you, ye Mountains, Why are ye beautiful?",0,,,band_0
s00070,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),I cannot love ye.,0,,,band_0
s00071,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"And thou, the bright Eye of the Universe, 10 That openest over all, and unto all Art a delight--thou shin'st not on my heart.",0,,,band_0
s00072,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"And you, ye crags, upon whose extreme edge I stand, and on the torrent's brink beneath Behold the tall pines dwindled as to shrubs In dizziness of distance; when a leap, A stir, a motion, even a breath, would bring My breast upon its rocky bosom's bed To rest for ever--wherefore do I pause?",5,bed; crag; pine; shrub; torrent,FLORA; LANDSCAPE; WEATHER,band_3plus
s00073,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),I feel the impulse--yet I do not plunge; 20 I see the peril--yet do not recede; And,0,,,band_0
s00074,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"my brain reels--and yet my foot is firm: There is a power upon me which withholds, And makes it my fatality to live,-- If it be life to wear within myself This barrenness of Spirit, and to be My own Soul's sepulchre, for I have ceased To justify my deeds unto myself-- The last infirmity of evil.",0,,,band_0
s00075,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Aye, Thou winged and cloud-cleaving minister, 30",1,cloud,WEATHER,band_1
s00076,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Whose happy flight is highest into heaven, Well may'st thou swoop so near me--I should be Thy prey, and gorge thine eaglets; thou art gone Where the eye cannot follow thee; but thine Yet pierces downward, onward, or above, With a pervading vision.--Beautiful!",3,eaglet; gorge; prey,FAUNA; LANDSCAPE,band_3plus
s00077,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),How beautiful is all this visible world!How glorious in its action and itself!,0,,,band_0
s00078,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"But we, who name ourselves its sovereigns, we, Half dust, half deity, alike unfit 40 To sink or soar, with our mixed essence make A conflict of its elements, and breathe The breath of degradation and of pride, Contending with low wants and lofty will, Till our Mortality predominates, And men are--what they name not to themselves, And trust not to each other.",0,,,band_0
s00079,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"the note, The natural music of the mountain reed-- For here the patriarchal days are not A pastoral fable--pipes in the liberal air, 50 Mixed with the sweet bells of the sauntering herd;My soul would drink those echoes.",2,air; mountain,LANDSCAPE; WEATHER,band_2
s00080,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Oh, that I were The viewless spirit of a lovely sound, A living voice, a breathing harmony, A bodiless enjoyment--born and dying With the blest tone which made me!",0,,,band_0
s00081,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Enter from below a_ CHAMOIS HUNTER.,1,chamois,FAUNA,band_1
s00082,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Even so This way the Chamois leapt: her nimble feet Have baffled me; my gains to-day will scarce Repay my break-neck travail.--What is here?,1,chamois,FAUNA,band_1
s00083,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Who seems not of my trade, and yet hath reached 60 A height which none even of our mountaineers, Save our best hunters, may attain: his garb Is goodly, his mien manly, and his air Proud as a free-born peasant's, at this distance: I will approach him nearer.",2,air; trade,WEATHER,band_2
s00084,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),(_not perceiving the other_).,0,,,band_0
s00085,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"To be thus-- Grey-haired with anguish, like these blasted pines, Wrecks of a single winter, barkless, branchless,A blighted trunk upon a curséd root, Which but supplies a feeling to Decay-- And to be thus, eternally but thus, 70 Having been otherwise!",2,grey; pine,FAUNA; FLORA,band_2
s00086,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Now furrowed o'er With wrinkles, ploughed by moments, not by years And hours, all tortured into ages--hours",0,,,band_0
s00087,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Which I outlive!--Ye toppling crags of ice!,1,crag,LANDSCAPE,band_1
s00088,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Ye Avalanches, whom a breath draws down In mountainous o'erwhelming, come and crush me!",0,,,band_0
s00089,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"I hear ye momently above, beneath, Crash with a frequent conflict;but ye pass, And only fall on things that still would live; On the young flourishing forest, or the hut 80 And hamlet of the harmless villager.",0,,,band_0
s00090,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",1,valley,LANDSCAPE,band_1
s00091,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The mists boil up around the glaciers; clouds Rise curling fast beneath me, white and sulphury, Like foam from the roused ocean of deep Hell,Whose every wave breaks on a living shore, Heaped with the damned like pebbles.--I am giddy._C. Hun_.",6,cloud; glacier; ocean; rise; shore; wave,LANDSCAPE; WEATHER,band_3plus
s00092,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"I must approach him cautiously; if near, 90 A sudden step will startle him, and he Seems tottering already.",0,,,band_0
s00093,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Mountains have fallen, Leaving a gap in the clouds, and with the shock Rocking their Alpine brethren; filling up The ripe green valleys with Destruction's splinters; Damming the rivers with a sudden dash, Which crushed the waters into mist, and made Their fountains find another channel--thus, Thus, in its old age, did Mount Rosenberg--Why stood I not beneath it?",8,channel; cloud; fountain; mount; mountain; river; valley; water,FAUNA; LANDSCAPE; WEATHER,band_3plus
s00094,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"have a care, 100 Your next step may be fatal!--for the love Of Him who made you, stand not on that brink!",0,,,band_0
s00095,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),(_not hearing him_).,0,,,band_0
s00096,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",1,wind,WEATHER,band_1
s00097,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Look not upon me thus reproachfully-- You were not meant for me--Earth!,0,,,band_0
s00098,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),take these atoms!,0,,,band_0
s00099,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Hold, madman!--though aweary of thy life, 110 Stain not our pure vales with thy guilty blood: Away with me----I will not quit my hold.",1,vale,LANDSCAPE,band_1
s00100,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"I am most sick at heart--nay, grasp me not--",0,,,band_0
s00101,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),I am all feebleness--the mountains whirl Spinning around me----I grow blind----What art thou?,1,mountain,LANDSCAPE,band_1
s00102,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),I'll answer that anon.--Away with me----,0,,,band_0
s00103,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The clouds grow thicker----there--now lean on me-- Place your foot here--here, take this staff, and cling A moment to that shrub--now give me your hand, And hold fast by my girdle--softly--well-- 120",2,cloud; shrub,FLORA; WEATHER,band_2
s00104,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The Chalet will be gained within an hour: Come on, we'll quickly find a surer footing, And something like a pathway, which the torrent Hath washed since winter.--Come,'tis bravely done--",1,torrent,WEATHER,band_1
s00105,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),You should have been a hunter.--Follow me.,0,,,band_0
s00106,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"It is not noon--the Sunbow's raysstill arch The torrent with the many hues of heaven, And roll the sheeted silver's waving column O'er the crag's headlong perpendicular, And fling its lines of foaming light along, And to and fro, like the pale courser's tail, The Giant steed, to be bestrode by Death, As told in the Apocalypse.",5,courser; crag; giant; steed; torrent,FAUNA; LANDSCAPE; WEATHER,band_3plus
s00107,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"No eyes But mine now drink this sight of loveliness; I should be sole in this sweet solitude, 10 And with the Spirit of the place divide The homage of these waters.--I will call her.",0,,,band_0
s00108,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"Which of itself shows immortality, I read that thou wilt pardon to a Son Of Earth, whom the abstruser powers permit At times to commune with them--if that he 30 Avail him of his spells--to call thee thus, And gaze on thee a moment.",0,,,band_0
s00109,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),Son of Earth!,0,,,band_0
s00110,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"I know thee, and the Powers which give thee power!",0,,,band_0
s00111,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"I know thee for a man of many thoughts, And deeds of good and ill, extreme in both, Fatal and fated in thy sufferings.",0,,,band_0
s00112,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),I have expected this--what would'st thou with me?,0,,,band_0
s00113,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),To look upon thy beauty--nothing further.,0,,,band_0
s00114,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"The face of the earth hath maddened me, and I Take refuge in her mysteries, and pierce 40 To the abodes of those who govern her--",0,,,band_0
s00115,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),But they can nothing aid me.,0,,,band_0
s00116,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"I have sought From them what they could not bestow, and now I search no further.",0,,,band_0
s00117,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"What could be the quest Which is not in the power of the most powerful, The rulers of the invisible?",0,,,band_0
s00118,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),A boon;-- But why should I repeat it?,0,,,band_0
