sentence_id,author,work,sentence_text,band,n_candidates,candidate_words,target_span,start_char,end_char,entity_type,is_figurative,lemma
s00728,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The loud wind never reached the ship, Yet now the ship moved on!",band_1,1,wind,,,,,,
s00258,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",band_1,1,cave,,,,,,
s00090,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",band_1,1,valley,,,,,,
s00035,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"For this is Love's recess, where vain men's woes, And the world's waste, have driven him far from those, For 'tis his nature to advance or die; He stands not still, but or decays, or grows Into a boundless blessing, which may vie With the immortal lights, in its eternity! '",band_1,1,recess,,,,,,
s00300,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,band_1,1,frost,,,,,,
s00376,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",band_1,1,spring,,,,,,
s00867,William Wordsworth,Lines Written in Early Spring,"The birds around me hopp’d and play’d: Their thoughts I cannot measure, But the least motion which they made, It seem’d a thrill of pleasure.",band_1,1,bird,,,,,,
s00301,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",band_1,1,sun,,,,,,
s00142,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),Daughter of Air!,band_1,1,air,,,,,,
s00505,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"You seek for knowledge and wisdom, as I once did; and I ardently hope that the gratification of your wishes may not be a serpent to sting you, as mine has been.",band_1,1,serpent,,,,,,
s00369,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"He had already bought a farm with his money, on which he had designed to pass the remainder of his life; but he bestowed the whole on his rival, together with the remains of his prize-money to purchase stock, and then himself solicited the young woman’s father to consent to her marriage with her lover.",band_1,1,stock,,,,,,
s00620,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"With sloping masts and dipping prow, As who pursued with yell and blow Still treads the shadow of his foe And forward bends his head, The ship drove fast, loud roared the blast, And southward aye we fled.",band_1,1,blast,,,,,,
s00489,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"“I agree with you,” replied the stranger; “we are unfashioned creatures, but half made up, if one wiser, better, dearer than ourselves—such a friend ought to be—do not lend his aid to perfectionate our weak and faulty natures.",band_1,1,creature,,,,,,
s00223,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Begone, vile insect!",band_1,1,insect,,,,,,
s00490,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I once had a friend, the most noble of human creatures, and am entitled, therefore, to judge respecting friendship.",band_1,1,creature,,,,,,
s00465,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I said in one of my letters, my dear Margaret, that I should find no friend on the wide ocean; yet I have found a man who, before his spirit had been broken by misery, I should have been happy to have possessed as the brother of my heart.",band_1,1,ocean,,,,,,
s00284,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"On you it rests, whether I quit for ever the neighbourhood of man and lead a harmless life, or become the scourge of your fellow creatures and the author of your own speedy ruin.”",band_1,1,creature,,,,,,
s00354,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"It is true that I have thought more and that my daydreams are more extended and magnificent, but they want (as the painters call it) _",band_1,1,painter,,,,,,
s00096,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Such would have been for me a fitting tomb; My bones had then been quiet in their depth; They had not then been strewn upon the rocks For the wind's pastime--as thus--thus they shall be-- In this one plunge.--Farewell, ye opening Heavens!",band_1,1,wind,,,,,,
s00243,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me.",band_1,1,creature,,,,,,
s00703,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"I looked upon the rotting sea, And drew my eyes away; I looked upon the rotting deck, And there the dead men lay.",band_1,1,sea,,,,,,
s00316,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,band_1,1,homer,,,,,,
s00762,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Fly, brother, fly!",band_1,1,fly,,,,,,
s00622,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken--,band_1,1,beast,,,,,,
s00775,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,Is this the hill?,band_1,1,hill,,,,,,
s00359,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity.",band_1,1,humanity,,,,,,
s00719,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The silly buckets on the deck, That had so long remained, I dreamt that they were filled with dew; And when I awoke, it rained.",band_1,1,dew,,,,,,
s00298,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",band_1,1,breeze,,,,,,
s00424,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"In the morning, however, as soon as it was light, I went upon deck and found all the sailors busy on one side of the vessel, apparently talking to someone in the sea.",band_1,1,sea,,,,,,
s00081,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Enter from below a_ CHAMOIS HUNTER.,band_1,1,chamois,,,,,,
s00796,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"He'll shrieve my soul, he'll wash away The Albatross's blood.",band_1,1,albatross,,,,,,
s00024,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"But where of ye, O tempests! is the goal?",band_1,1,tempest,,,,,,
s00411,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated.",band_1,1,sea,,,,,,
s00534,Percy Shelley,Mont Blanc,"Power dwells apart in its tranquillity, Remote, serene, and inaccessible: And THIS, the naked countenance of earth, On which I gaze, even these primaeval mountains Teach the adverting mind.",band_1,1,mountain,,,,,,
s00750,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"By him who died on cross, With his cruel bow he laid full low, The harmless Albatross.",band_1,1,albatross,,,,,,
s00087,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),Which I outlive!--Ye toppling crags of ice!,band_1,1,crag,,,,,,
s00289,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"For the first time, also, I felt what the duties of a creator towards his creature were, and that I ought to render him happy before I complained of his wickedness.",band_1,1,creature,,,,,,
s00714,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"no tongue Their beauty might declare: A spring of love gushed from my heart, And I blessed them unaware: Sure my kind saint took pity on me, And I blessed them unaware.",band_1,1,spring,,,,,,
s00743,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Under the keel nine fathom deep, From the land of mist and snow, The spirit slid: and it was he That made the ship to go.",band_1,1,snow,,,,,,
s00667,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Hither to work us weal; Without a breeze, without a tide, She steadies with upright keel!",band_1,1,breeze,,,,,,
s00532,Percy Shelley,Mont Blanc,"The wilderness has a mysterious tongue Which teaches awful doubt, or faith so mild, So solemn, so serene, that man may be, But for such faith, with nature reconciled; Thou hast a voice, great Mountain, to repeal Large codes of fraud and woe; not understood By all, but which the wise, and great, and good Interpret, or make felt, or deeply feel.",band_1,1,mountain,,,,,,
s00621,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And now there came both mist and snow, And it grew wondrous cold: And ice, mast-high, came floating by, As green as emerald.",band_1,1,snow,,,,,,
s00203,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),A mist covered both that and the surrounding mountains.,band_1,1,mountain,,,,,,
s00334,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing.",band_1,1,whale,,,,,,
s00202,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),For some time I sat upon the rock that overlooks the sea of ice.,band_1,1,sea,,,,,,
s00323,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.",band_1,1,mate,,,,,,
s00496,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",band_1,1,sea,,,,,,
s00771,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"It raised my hair, it fanned my cheek Like a meadow-gale of spring-- It mingled strangely with my fears, Yet it felt like a welcoming.",band_1,1,gale,,,,,,
s00707,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,An orphan's curse would drag to Hell A spirit from on high; But oh! more horrible than that Is a curse in a dead man's eye!,band_1,1,orphan,,,,,,
s00196,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If our impulses were confined to hunger, thirst, and desire, we might be nearly free; but now we are moved by every wind that blows and a chance word or scene that that word may convey to us.",band_1,1,wind,,,,,,
s00661,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"As if it dodged a water-sprite, It plunged and tacked and veered.",band_1,1,water,,,,,,
s00795,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,He singeth loud his godly hymns That he makes in the wood.,band_1,1,wood,,,,,,
s00695,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And thou art long, and lank, and brown, As is the ribbed sea-sand.",band_1,1,sea,,,,,,
s00615,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And he shone bright, and on the right Went down into the sea.",band_1,1,sea,,,,,,
s00642,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Day after day, day after day, We stuck, nor breath nor motion; As idle as a painted ship Upon a painted ocean.",band_1,1,ocean,,,,,,
s00270,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You accuse me of murder, and yet you would, with a satisfied conscience, destroy your own creature.",band_1,1,creature,,,,,,
s00253,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Will no entreaties cause thee to turn a favourable eye upon thy creature, who implores thy goodness and compassion?",band_1,1,creature,,,,,,
s00169,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"Yet in this hour I dread the thing I dare: Until this hour I never shrunk to gaze 200 On spirit, good or evil--now I tremble, And feel a strange cold thaw upon my heart.",band_1,1,thaw,,,,,,
s00814,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Stunned by that loud and dreadful sound, Which sky and ocean smote, Like one that hath been seven days drowned My body lay afloat; But swift as dreams, myself I found Within the Pilot's boat.",band_1,1,ocean,,,,,,
s00332,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.",band_1,1,vein,,,,,,
s00681,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The naked hulk alongside came, And the twain were casting dice; ""The game is done!",band_1,1,game,,,,,,
s00800,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,He kneels at morn and noon and eve-- He hath a cushion plump: It is the moss that wholly hides The rotted old oak-stump.,band_1,1,oak,,,,,,
s00868,William Wordsworth,Lines Written in Early Spring,"The budding twigs spread out their fan, To catch the breezy air; And I must think, do all I can, That there was pleasure there.",band_1,1,air,,,,,,
s00014,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Far along, From peak to peak, the rattling crags among, Leaps the live thunder!",band_1,1,crag,,,,,,
s00722,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And soon I heard a roaring wind: It did not come anear; But with its sound it shook the sails, That were so thin and sere.",band_1,1,wind,,,,,,
s00099,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Hold, madman!--though aweary of thy life, 110 Stain not our pure vales with thy guilty blood: Away with me----I will not quit my hold.",band_1,1,vale,,,,,,
s00699,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Alone, alone, all, all alone, Alone on a wide wide sea!",band_1,1,sea,,,,,,
s00783,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And the bay was white with silent light, Till rising from the same, Full many shapes, that shadows were, In crimson colours came.",band_1,1,bay,,,,,,
s00680,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Her lips were red, her looks were free, Her locks were yellow as gold: Her skin was as white as leprosy, The Night-Mare LIFE-IN-DEATH was she, Who thicks man's blood with cold.",band_1,1,mare,,,,,,
s00450,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"“Then I fancy we have seen him, for the day before we picked you up we saw some dogs drawing a sledge, with a man in it, across the ice.”",band_1,1,dog,,,,,,
s00632,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"From the fiends, that plague thee thus!-- Why look'st thou so?""--With my cross-bow I shot the ALBATROSS.",band_1,1,albatross,,,,,,
s00384,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I am practically industrious—painstaking, a workman to execute with perseverance and labour—but besides this there is a love for the marvellous, a belief in the marvellous, intertwined in all my projects, which hurries me out of the common pathways of men, even to the wild sea and unvisited regions I am about to explore.",band_1,1,sea,,,,,,
s00853,William Wordsworth,Lines Written a Few Miles above Tintern Abbey,"For I have learned To look on nature, not as in the hour Of thoughtless youth, but hearing oftentimes The still, sad music of humanity, Not harsh nor grating, though of ample power To chasten and subdue.",band_1,1,humanity,,,,,,
s00815,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Upon the whirl, where sank the ship, The boat spun round and round; And all was still, save that the hill Was telling of the sound.",band_1,1,hill,,,,,,
s00255,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You, my creator, abhor me; what hope can I gather from your fellow creatures, who owe me nothing?",band_1,1,creature,,,,,,
s00580,Percy Shelley,To a Skylark,"Hail to thee, blithe Spirit!",band_1,1,hail,,,,,,
s00780,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The harbour-bay was clear as glass, So smoothly it was strewn!",band_1,1,bay,,,,,,
s00674,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Are those her sails that glance in the Sun, Like restless gossameres!",band_1,1,sun,,,,,,
s00195,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Why does man boast of sensibilities superior to those apparent in the brute; it only renders them more necessary beings.,band_1,1,brute,,,,,,
s00361,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),The master is a person of an excellent disposition and is remarkable in the ship for his gentleness and the mildness of his discipline.,band_1,1,mildness,,,,,,
s00004,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"It is the hush of night, and all between Thy margin and the mountains, dusk, yet clear, Mellowed and mingling, yet distinctly seen.",band_1,1,mountain,,,,,,
s00571,Percy Shelley,The Cloud,"With wings folded I rest, on mine aery nest, As still as a brooding dove.",band_1,1,dove,,,,,,
s00592,Percy Shelley,To a Skylark,What objects are the fountains Of thy happy strain?,band_1,1,fountain,,,,,,
s00470,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),How can I see so noble a creature destroyed by misery without feeling the most poignant grief?,band_1,1,creature,,,,,,
s00649,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,And some in dreams assured were Of the spirit that plagued us so: Nine fathom deep he had followed us From the land of mist and snow.,band_1,1,snow,,,,,,
s00201,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),It was nearly noon when I arrived at the top of the ascent.,band_1,1,ascent,,,,,,
s00421,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship.",band_1,1,sea,,,,,,
s00746,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Then like a pawing horse let go, She made a sudden bound: It flung the blood into my head, And I fell down in a swound.",band_1,1,horse,,,,,,
s00756,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,What is the OCEAN doing?,band_1,1,ocean,,,,,,
s00207,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),The opposite mountain is a bare perpendicular rock.,band_1,1,mountain,,,,,,
s00296,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.",band_1,1,breeze,,,,,,
s00581,Percy Shelley,To a Skylark,"Bird thou never wert, That from Heaven, or near it, Pourest thy full heart In profuse strains of unpremeditated art.",band_1,1,bird,,,,,,
s00725,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"And to and fro, and in and out, The wan stars danced between.",band_1,1,star,,,,,,
s00003,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"This quiet sail is as a noiseless wing To waft me from distraction; once I loved Torn ocean's roar, but thy soft murmuring Sounds sweet as if a sister's voice reproved, That I with stern delights should e'er have been so moved.",band_1,1,ocean,,,,,,
s00648,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The water, like a witch's oils, Burnt green, and blue and white.",band_1,1,water,,,,,,
s00331,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.",band_1,1,snow,,,,,,
s00356,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen.",band_2,2,archangel; ocean,,,,,,
s00765,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"I woke, and we were sailing on As in a gentle weather: 'Twas night, calm night, the Moon was high; The dead men stood together.",band_2,2,moon; weather,,,,,,
s00189,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The ascent is precipitous, but the path is cut into continual and short windings, which enable you to surmount the perpendicularity of the mountain.",band_2,2,ascent; mountain,,,,,,
s00565,Percy Shelley,The Cloud,"I wield the flail of the lashing hail, And whiten the green plains under, And then again I dissolve it in rain, And laugh as I pass in thunder.",band_2,2,hail; rain,,,,,,
s00872,William Wordsworth,The Tables Turned,"The sun above the mountain’s head, A freshening lustre mellow, Through all the long green fields has spread, His first sweet evening yellow.",band_2,2,mountain; sun,,,,,,
s00402,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Thus far I have gone, tracing a secure way over the pathless seas, the very stars themselves being witnesses and testimonies of my triumph.",band_2,2,sea; star,,,,,,
s00307,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",band_2,2,mate; river,,,,,,
s00630,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"Whiles all the night, through fog-smoke white, Glimmered the white Moon-shine.",band_2,2,fog; moon,,,,,,
